Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,les cayes,18.2,-73.75,83.93,72,52,10.31,HT,1624226569
85,kande,9.9578,1.0447,77.34,74,77,3.85,TG,1624226570
86,saryozek,44.3583,77.9753,48.74,34,5,4.54,KZ,1624226570
87,maun,-19.9833,23.4167,55.85,53,14,9.19,BW,1624226570
88,oktyabrskoye,43.0645,44.7417,64.54,94,11,6.71,RU,1624226571
89,nikolskoye,59.7035,30.7861,75.09,70,0,5.19,RU,1624226571
90,matamoros,25.5333,-103.25,92.1,24,69,6.67,MX,1624226571
91,pangnirtung,66.1451,-65.7125,43.86,72,100,5.23,CA,1624226572
92,puerto ayora,-0.7393,-90.3518,77.56,82,48,5.99,EC,1624226572
93,kinkala,-4.3614,14.7644,71.98,62,11,3.15,CG,1624226572
94,butaritari,3.0707,172.7902,81.7,75,18,9.44,KI,1624226573
95,sitka,57.0531,-135.33,58.1,87,100,5.32,US,1624226573
96,seymchan,62.8833,152.4333,56.98,73,99,5.35,RU,1624226573
97,eyl,7.9803,49.8164,77.16,74,99,24.05,SO,1624226574
98,acobamba,-11.3525,-75.6594,56.7,73,91,5.44,PE,1624226574
99,lata,40.1629,-8.3327,61.92,88,100,6.42,PT,1624226574
100,harvard,42.4222,-88.6137,78.04,85,100,10.31,US,1624226575
101,mehamn,71.0357,27.8492,46.06,84,32,6.6,NO,1624226575
102,ribeira grande,38.5167,-28.7,66.2,72,21,15.79,PT,1624226575
103,shelomi,33.0747,35.1461,68.4,85,0,0.38,IL,1624226576
104,tabou,4.423,-7.3528,77.31,85,78,10.38,CI,1624226576
105,puerto leguizamo,-0.1934,-74.7819,74.03,91,99,2.55,CO,1624226576
106,belaya gora,68.5333,146.4167,61.11,45,0,10.87,RU,1624226577
107,saint-philippe,-21.3585,55.7679,65.79,70,94,12.84,RE,1624226577
108,kodinsk,58.6881,99.1844,60.94,76,36,1.21,RU,1624226577
109,walvis bay,-22.9575,14.5053,68.09,29,0,6.04,NA,1624226578
110,egvekinot,66.3167,-179.1667,57.0,42,100,3.87,RU,1624226578
111,krasnoselkup,65.7,82.4667,42.4,91,100,14.0,RU,1624226578
112,chernyshevsk,52.5243,117.0174,55.94,89,15,2.42,RU,1624226579
113,victoria,22.2855,114.1577,87.33,89,93,5.99,HK,1624226579
114,pevek,69.7008,170.3133,42.64,74,22,5.64,RU,1624226579
115,bambous virieux,-20.3428,57.7575,68.22,57,78,18.16,MU,1624226580
116,pacific grove,36.6177,-121.9166,90.16,74,1,5.99,US,1624226580
117,landeck,47.1301,10.5636,62.87,78,76,6.85,AT,1624226580
118,mahebourg,-20.4081,57.7,68.25,58,74,18.07,MU,1624226581
119,stykkisholmur,65.0757,-22.7297,46.24,70,50,7.56,IS,1624226421
120,challapata,-18.9,-66.7667,46.89,27,19,5.46,BO,1624226581
121,ormond beach,29.2858,-81.0559,92.16,54,40,11.5,US,1624226581
122,launceston,-41.45,147.1667,44.8,98,90,1.14,AU,1624226431
123,marsh harbour,26.5412,-77.0636,82.8,76,80,15.23,BS,1624226415
124,paamiut,61.994,-49.6678,40.95,95,100,11.77,GL,1624226582
125,lavrentiya,65.5833,-171.0,52.05,63,17,4.99,RU,1624226582
126,ancud,-41.8697,-73.8203,48.22,77,84,14.07,CL,1624226583
127,necochea,-38.5473,-58.7368,45.03,67,10,7.96,AR,1624226583
128,ayr,55.4627,-4.6339,57.31,82,40,6.91,GB,1624226583
129,poum,-20.2333,164.0167,72.23,67,99,11.23,NC,1624226584
130,santa cruz,-17.8,-63.1667,68.18,57,7,9.98,BO,1624226584
131,constitucion,-35.3333,-72.4167,52.72,77,100,8.7,CL,1624226584
132,santiago de las vegas,22.97,-82.3869,86.32,68,90,7.54,CU,1624226585
133,tual,-5.6667,132.75,80.89,77,88,18.21,ID,1624226585
134,chokurdakh,70.6333,147.9167,61.56,44,2,10.42,RU,1624226585
135,jardim,-21.4803,-56.1381,64.38,65,89,1.95,BR,1624226586
136,blahodatne,50.6637,24.2492,64.06,94,69,7.14,UA,1624226586
137,cabo san lucas,22.8909,-109.9124,93.81,74,86,14.12,MX,1624226554
138,mercedes,-34.6515,-59.4307,49.84,75,3,6.8,AR,1624226587
139,torbay,47.6666,-52.7314,61.57,97,90,16.11,CA,1624226587
140,shache,38.4167,77.2406,73.06,22,100,10.38,CN,1624226587
141,okhotsk,59.3833,143.3,49.42,85,98,4.54,RU,1624226588
142,paita,-5.0892,-81.1144,70.07,77,94,17.65,PE,1624226588
143,nueva valencia,10.5108,122.5315,81.73,78,100,9.73,PH,1624226588
144,port blair,11.6667,92.75,82.36,78,62,11.36,IN,1624226589
145,sorong,-0.8833,131.25,79.09,85,100,8.21,ID,1624226540
